filename,cell_id,temp,charge_rate,discharge_rate,cycle,SOH,IC_bin_1,IC_bin_2,IC_bin_3,IC_bin_4,IC_bin_5,IC_bin_6,IC_bin_7,IC_bin_8,IC_bin_9,IC_bin_10,IC_bin_11,IC_bin_12,IC_bin_13,IC_bin_14,IC_bin_15,IC_bin_16,IC_bin_17,IC_bin_18,IC_bin_19,IC_bin_20
CY25-05_1-#6.csv,6,25,0.5,1.0,1,99.98,3.3373018541734205,3.4998817638468416,3.6912309424197933,3.8755988544733424,4.000968771479935,4.0427911047183365,4.0282065146669535,3.994995954105072,3.9735968902896075,3.982855780753594,4.028759021486607,4.106107863764284,4.200541060999524,4.276641212186177,4.299120865014394,4.281424967401431,4.239330852065611,4.170831629017452,4.077842669411523,3.9703943555311265
CY25-05_1-#6.csv,6,25,0.5,1.0,2,100.0,3.3093157845809964,3.4705004788593685,3.6614949939671515,3.8515383975618884,3.9871499282056577,4.0517290016217276,4.062126463146119,4.0328074750531036,3.9895927807561056,3.9716432369288297,4.004153097931323,4.078355040232515,4.170865170398919,4.253292417355547,4.2940394624208205,4.2888475257425345,4.243192602510544,4.1676709586688565,4.069134360787671,3.9584900826347464
CY25-05_1-#6.csv,6,25,0.5,1.0,3,99.99,3.285339076359104,3.4454491153528988,3.644558155869318,3.8370221654223413,3.975059301522706,4.052187606188744,4.073689727304049,4.047027238495176,3.9948000448051935,3.9640970409175376,3.9844816062059474,4.055527422484091,4.161531257952465,4.257651876881275,4.305279622451215,4.297775249765439,4.243652259626835,4.1633471598877865,4.060289470345683,3.942845543024352
CY25-05_1-#6.csv,6,25,0.5,1.0,4,99.95,3.2771263713912404,3.431262558032324,3.6219904150597704,3.822539436019651,3.977444118010452,4.054952473576353,4.0728880301584205,4.048793205904561,4.002155053732008,3.969088628310682,3.9839568770352396,4.054526024787637,4.155043299113466,4.239572752168972,4.282783123988769,4.282566726753654,4.234385544939082,4.152641412009408,4.051381951607625,3.9358912453811135
CY25-05_1-#6.csv,6,25,0.5,1.0,5,99.93,3.253783569643056,3.4048879001184593,3.5975209091272045,3.798059894278018,3.964367235338408,4.059083666818294,4.08261963299023,4.05454101182528,4.00331383212385,3.967147153242575,3.9806931186411085,4.042448592000445,4.135732477951721,4.230691742398937,4.287275066428728,4.290579978727645,4.247561554315072,4.164159301126251,4.0529521433460935,3.9267505576028334
CY25-05_1-#6.csv,6,25,0.5,1.0,6,99.85,3.2503420690266243,3.399460488999506,3.5863021266030946,3.787760138610889,3.950602197685427,4.048033392432155,4.074112697884738,4.055107650685224,4.016063581847179,3.9779573126768653,3.9751053260979536,4.0298934325242275,4.123935579588086,4.217094103113772,4.275210340563914,4.290877998200746,4.249931689034041,4.1575812033992285,4.047461259253792,3.9316684895187266
CY25-05_1-#6.csv,6,25,0.5,1.0,7,99.78,3.228274397387994,3.3698389632890846,3.5541014609957267,3.7642152329285423,3.9440984647124138,4.048598235730509,4.079247672842266,4.061266430435568,4.0159654706579175,3.981123417489557,3.977130760229634,4.016439326470399,4.1045266941999845,4.2095920129917035,4.276437188096983,4.28068262649648,4.235883102778729,4.156205055459226,4.054550576079468,3.9296021403087087
CY25-05_1-#6.csv,6,25,0.5,1.0,8,99.72,3.2143373068785603,3.3605936050144587,3.5486230884943466,3.7482714113905122,3.930749191912533,4.053540058215378,4.087197564718216,4.056958501758837,4.012727937552687,3.980862545321036,3.974115663470096,4.0093107538771395,4.087584806583517,4.186543128119929,4.272580316120905,4.290954012155523,4.241199409349569,4.157049585495199,4.045922379121096,3.9185829370898624
CY25-05_1-#6.csv,6,25,0.5,1.0,9,99.66,3.2013201540802263,3.337973483001319,3.522971416720123,3.731078257332228,3.9127019754469443,4.028099796226819,4.073471868211412,4.063618410994774,4.025931305475891,3.982697430490805,3.9648137894789537,3.9984361981342245,4.086485917617943,4.199269941458915,4.273411847740039,4.275668656100298,4.227377536321274,4.148972974436773,4.047873133664764,3.928753806882361
CY25-05_1-#6.csv,6,25,0.5,1.0,10,99.58,3.194686484111342,3.3285298772677403,3.508694028281454,3.72286930384234,3.915797970187445,4.034109736115011,4.073986962285634,4.059799128861255,4.0188323420663306,3.978616711111719,3.9702511122284214,4.000833154748559,4.07063010262396,4.170788590740914,4.256822652084696,4.287654668984915,4.248919023146111,4.155409375553496,4.037586672754587,3.913768185897891
